Station_Name,Index_No,Basin_Office,Types_of_Station,District,Latitude,Longitude,Elemeter,AgEstdDate,NMS_EstdDate,geometry
JAMU(TIKUWA KUNA),403.0,R,PRECIPITATION,Surkhet,28.783333,81.333333,260,1963-05-01,1974-10-03,POINT (81.333333 28.783333)
JAJARKOT,404.0,R,PRECIPITATION,Jajarkot,28.7,82.2,1231,1956-12-01,1973-03-03,POINT (82.2 28.7)
CHISAPANI(KARNALI),405.0,R,CLIMATOLOGY,Bardiya,28.65,81.266667,225,1963-01-01,,POINT (81.266667 28.65)
SURKHET(BIRENDRA NAGAR),406.0,R,SYNOPTIC,Surkhet,28.6,81.616667,720,1957-01-01,,POINT (81.616667 28.6)
KUSUM,407.0,R,PRECIPITATION,Banke,28.016667,82.116667,235,1956-11-01,1973-11-03,POINT (82.116667 28.016667)
GULARIYA,408.0,R,PRECIPITATION,Bardiya,28.166667,81.35,215,1957-01-01,1972-03-03,POINT (81.35 28.166667)
KHAJURA (NEPALGANJ),409.0,R,AGROMETEOROLOGY,Banke,28.1,81.566667,190,,1968-01-03,POINT (81.566667 28.1)
BALE BUDHA,410.0,R,PRECIPITATION,Dailekh,28.783333,81.583333,610,1965-05-01,1974-10-03,POINT (81.583333 28.783333)
RAJAPUR,411.0,R,PRECIPITATION,Bardiya,28.433333,81.1,129,,1971-02-03,POINT (81.1 28.433333)
NAUBASTA,412.0,R,PRECIPITATION,Banke,28.266667,81.716667,135,,1971-02-03,POINT (81.716667 28.266667)
SHYANO SHREE(CHEPANG),413.0,R,PRECIPITATION,Bardiya,28.35,81.7,510,,1971-02-03,POINT (81.7 28.35)
BAIJAPUR,414.0,R,PRECIPITATION,Banke,28.05,81.9,226,,1971-02-03,POINT (81.9 28.05)
BARGADAHA,415.0,R,PRECIPITATION,Bardiya,28.433333,81.35,200,1967-11-01,,POINT (81.35 28.433333)
NEPALGUNJ(REG.OFF.),416.0,R,CLIMATOLOGY,Banke,28.066667,81.616667,144,,1973-02-03,POINT (81.616667 28.066667)
