date,lat,lon,temperature_celsius,total_precip_m,snow_melt_m,large_scale_snow_melt_m,snow_runoff_m,number,expver,t2m_norm,tp_norm,smlt_norm,lblt_norm,src_norm
2025-04-09,31.0,82.89999999999984,-14.412689,3.8444996e-06,5.5473298e-05,276.9182,-2.775558e-20,0,0005,-1.3522681,-0.56071,-0.23000109,-0.8601212,-0.5241551
2025-04-09,31.0,82.99999999999983,-15.678314,0.0,4.146993e-05,276.87036,-2.775558e-20,0,0005,-1.4345169,-0.5628772,-0.23865332,-0.86741334,-0.5241551
2025-04-09,31.0,83.09999999999982,-14.006439,0.0,3.8579106e-05,276.8274,-2.775558e-20,0,0005,-1.3258673,-0.5628772,-0.24043947,-0.8739614,-0.5241551
2025-04-09,31.0,83.19999999999982,-11.40097,1.835823e-05,2.734363e-05,276.83032,1.7881393e-07,0,0005,-1.1565466,-0.55252856,-0.24738151,-0.87351495,-0.522371
2025-04-09,31.0,83.29999999999981,-10.197845,1.5765429e-05,4.1577965e-05,276.89282,3.874302e-07,0,0005,-1.0783595,-0.5539901,-0.23858657,-0.8639905,-0.5202896
2025-04-09,31.0,83.3999999999998,-11.627533,1.5556812e-05,6.113574e-05,276.71313,2.9802322e-08,0,0005,-1.1712701,-0.5541077,-0.22650246,-0.8913733,-0.5238577
2025-04-09,31.0,83.4999999999998,-11.762299,1.7344952e-05,9.2793256e-05,276.9563,2.9802322e-08,0,0005,-1.1800281,-0.55309975,-0.2069423,-0.8543172,-0.5238577
2025-04-09,31.0,83.5999999999998,-9.123627,2.4557114e-05,0.0001982525,277.00513,2.9802322e-08,0,0005,-1.0085496,-0.5490342,-0.14178246,-0.84687626,-0.5238577
2025-04-09,31.0,83.69999999999979,-7.922455,3.4362078e-05,6.0286373e-05,276.97876,5.9604645e-08,0,0005,-0.9304894,-0.5435071,-0.22702725,-0.8508944,-0.5235604
2025-04-09,31.0,83.79999999999978,-7.9790955,3.4213066e-05,3.5993755e-05,276.84888,2.9802322e-08,0,0005,-0.9341703,-0.5435911,-0.24203688,-0.87068737,-0.5238577
