DCD,VCD,VNM,DNM,DIST,VDCMUN,VNAME_CBS,LINKID,DDVVV,CEMENT_RCC,DRINK_WATE,TOILET,INFORMATIO,TRANSPORT,SLC___EQUI,POPULATION,SEX_RATIO,POP_ABROAD,TOTAL_DEP_,CHILD_WOMA,ROAD_DEN,HEALTH_FAC,FLOOD_FREQ,HAND_DEN,RIV_DEN,FOREST_DEN
-1.6645158893772385,-0.570978326156004,AMBEGUDIN,TAPLEJUNG,-1.6648587826284964,-0.570978326156004,Ambegudin,-1.7316163284932924,-1.6556581442212805,-0.6509952178494459,0.7416410750066552,-0.0756031478564721,-0.00764658441154882,-0.7758785197308303,1.0814517250638906,-0.19722857074532685,0.30319538663398377,-0.2068461300063926,-0.4300363092533155,-0.35939459716704775,0.21107851349811171,0.05720215541782416,-0.3117380841677691,-0.3462861406183293,0.06152067710254269,0.025240369416326278
-1.6645158893772385,-0.5542063795683031,ANGKHOP,TAPLEJUNG,-1.6648587826284964,-0.5542063795683031,Ankhop,-1.7307472613271728,-1.6556095772963293,-0.6702712170079657,0.6775040978133808,-0.31424273179533885,-0.4573112578919942,-0.7758785197308303,-0.33070567223239755,-0.23183573545130567,0.1150864674529953,-0.2240793443576139,-0.08097218388643888,0.07350342005005465,-0.1993404888450463,0.05720215541782416,-0.3117380841677691,-0.32278533092539746,0.31979241502599876,0.1464549627819604
-1.6645158893772385,-0.5374344329806022,CHAKSIBOTE,TAPLEJUNG,-1.6648587826284964,-0.5374344329806022,Chaksibote,-1.7298781941610533,-1.655561010371378,-0.6389477183753712,0.5975795570033,-0.8145379001544857,-0.4088126260351288,-0.7758785197308303,0.40017061472316723,-0.310453591450038,-0.2068860081684194,-0.3133787278139425,-0.18469764462713,-0.44164894910338975,1.8527545228707445,0.05720215541782416,-0.3117380841677691,-0.3462861406183293,-0.2651171090947693,-0.47982043627381593
-1.6645158893772385,-0.5206624863929014,CHANGE,TAPLEJUNG,-1.6648587826284964,-0.5206624863929014,Change,-1.7290091269949337,-1.6555124434464268,-0.6491880929283348,0.23150542563860987,-0.5597467369304165,-0.14051453432884758,-0.7665810199848516,0.36884734528221463,-0.1395499629020288,-0.2996280799506735,-0.08386364577267691,-0.1362510222452503,-0.20458042253436834,-0.1993404888450463,0.05720215541782416,-0.3117380841677691,-0.4872909987759206,-0.4018492056424813,0.5505036073340742
-1.6645158893772385,-0.5038905398052005,DHUNGESANGHU,TAPLEJUNG,-1.6648587826284964,-0.5038905398052005,Dhungesaghu,-1.728140059828814,-1.6554638765214755,-0.662440342349817,0.39826156634112414,-0.724492845639482,0.29798630313926305,-0.7615338058370347,0.5776691415552334,-0.1551860594358518,-0.37224687200659135,-0.13634661675139634,-0.09774216855708928,0.20698963035472515,0.21107851349811171,0.05720215541782416,-0.3117380841677691,-0.1817804727678062,-0.44742657115838536,0.631313336244497
-1.6645158893772385,-0.4871185932174997,DOKHU,TAPLEJUNG,-1.6648587826284964,-0.4871185932174997,Dokhu,-1.7272709926626943,-1.6554153095965243,-0.5112442239501782,0.30501626872936344,-0.2455985198332283,0.8232356368343702,-0.7583460916384134,1.3920741470200055,-0.1353402446044611,-0.08702125501588168,-0.10266351597400925,-0.5082962377163512,-0.4127145079870701,0.6214975158412699,0.05720215541782416,-0.3117380841677691,-0.3462861406183293,-0.3334831573686253,0.1464549627819604
-1.6645158893772385,-0.4703466466297988,DUMISE,TAPLEJUNG,-1.6648587826284964,-0.4703466466297988,Dumrise,-1.7264019254965748,-1.655366742671573,-0.6702712170079657,0.2680141665024743,-0.3017252578493068,-0.08103508016476747,-0.7758785197308303,0.34796516565491276,-0.27486233675241994,-0.22088481145630667,-0.21781272095716978,-0.15736878071940316,-0.4063012040282981,1.031916518184428,0.05720215541782416,-0.3117380841677691,-0.5342926181617843,0.10709804261844673,0.2878719883752002
-1.6645158893772385,-0.45357470004209793,HANGDEWA,TAPLEJUNG,-1.6648587826284964,-0.43680275345439706,Hangdeva,-1.7255328583304552,-1.6552696088216705,-0.5660603465572186,0.5206151843713704,0.9657699265569583,0.21544712213003156,-0.7583460916384134,0.890901835964761,-0.16300410770276327,-0.2436328667991244,-0.16924638960372793,-0.5331406594506488,-0.4855726238907925,0.21107851349811171,0.05720215541782416,-0.3117380841677691,-0.5107918084688524,-0.2651171090947693,0.5707060395616799
-1.6645158893772385,-0.43680275345439706,HANGPANG,TAPLEJUNG,-1.6648587826284964,-0.4200308068666962,Hangpang,-1.7246637911643357,-1.6552210418967193,-0.6473809680072234,0.4530246776369201,-0.6627130548735825,0.5972137110108658,-0.7758785197308303,0.6742492223315043,-0.15677153775571495,-0.16313974789377075,-0.1230300420254526,-0.1362510222452503,-0.22822015921960903,0.21107851349811171,0.05720215541782416,0.6552564710794897,-0.32278533092539746,-0.44742657115838536,0.9343498196585821
-1.6645158893772385,-0.4200308068666962,IKHABU,TAPLEJUNG,-1.6648587826284964,-0.45357470004209793,Ekhabu,-1.723794723998216,-1.6553181757466218,-0.5943719703212944,0.8452469612419446,-1.1432225386083563,-0.7666044195452105,-0.7758785197308303,-1.5601439977897946,-0.24900263863878966,0.10196258937060022,-0.30711210441349834,-0.3107830849286886,0.1686589532057863,-0.6097594911882044,0.05720215541782416,-0.3117380841677691,-0.2757837115395337,-0.037230281515249396,0.8535400907481595
